num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
3025,0.5012,0.5019,0.633,0.6666,-0.0068,-0.0145,0.0466,0.052,0.0634,0.0564,-0.0404,-0.0412,0.0098,0.0163,0.0203,0.0086,-0.0436,-0.0418,-0.0177,-0.0087,-0.0164,-0.0308,-0.012,-0.0038,0.0086,0.0087,0.0036,-0.0002,2
3026,0.5016,0.5015,0.6418,0.6577,-0.003,-0.0114,0.0414,0.0541,0.0624,0.0531,-0.0389,-0.0407,0.0093,0.0157,0.0154,0.0097,-0.0529,-0.0452,-0.0183,-0.0178,-0.0176,-0.0306,-0.0071,-0.004,0.0088,0.0098,0.0042,-0.0037,2
3027,0.5014,0.5012,0.6461,0.6911,-0.006,-0.0086,0.0416,0.0528,0.0695,0.0566,-0.0413,-0.0423,0.0098,0.014,0.0201,0.0126,-0.0492,-0.0429,-0.0161,-0.0137,-0.0196,-0.0265,-0.0081,-0.0051,0.008,0.0101,0.004,-0.0025,2
3028,0.5012,0.5017,0.6513,0.6516,-0.0046,-0.0129,0.0437,0.0514,0.0699,0.0546,-0.0399,-0.0452,0.0078,0.0136,0.0195,0.0091,-0.0446,-0.0443,-0.0185,-0.0204,-0.0163,-0.0312,-0.0065,-0.005,0.0083,0.0121,0.0035,-0.0022,2
3029,0.501,0.5019,0.6341,0.6743,-0.0057,-0.0135,0.0449,0.0522,0.0644,0.0541,-0.0406,-0.0443,0.0041,0.0145,0.0214,0.0093,-0.0561,-0.0445,-0.0222,-0.0113,-0.0167,-0.0291,-0.0155,-0.0026,0.0026,0.009,0.0059,-0.0017,2
3030,0.5014,0.5015,0.6487,0.6649,-0.0086,-0.0058,0.0454,0.0556,0.0709,0.0625,-0.0401,-0.0414,0.0066,0.0153,0.016,0.0079,-0.0441,-0.0427,-0.0201,-0.0122,-0.0204,-0.0285,-0.0051,-0.002,0.0084,0.0074,0.0051,-0.0036,2
3031,0.5013,0.5014,0.6216,0.6761,-0.0048,-0.017,0.0459,0.0503,0.0645,0.0534,-0.0394,-0.0405,0.006,0.0152,0.013,0.0116,-0.0538,-0.0407,-0.0189,-0.0144,-0.0193,-0.0272,-0.0098,-0.0031,0.0073,0.003,0.0049,-0.0049,2
3032,0.5009,0.5019,0.6123,0.6817,-0.0027,-0.01,0.0488,0.0533,0.0625,0.0556,-0.0382,-0.0389,0.0074,0.0139,0.0139,0.0096,-0.044,-0.043,-0.0146,-0.0162,-0.0193,-0.0278,-0.0039,-0.0046,0.0074,0.0111,0.0032,0.0027,2
3033,0.5009,0.5017,0.6512,0.6635,-0.0022,-0.0195,0.0479,0.0524,0.0659,0.0565,-0.0379,-0.0409,0.0067,0.0143,0.0173,0.0062,-0.0471,-0.0418,-0.0253,-0.013,-0.0172,-0.0289,-0.0061,-0.0026,0.0076,0.0123,0.0045,-0.0039,2
3034,0.5014,0.5014,0.6959,0.6767,-0.0036,-0.0138,0.0421,0.0526,0.0589,0.0537,-0.0413,-0.0425,0.0099,0.0142,0.0173,0.009,-0.0438,-0.0437,-0.0196,-0.014,-0.0181,-0.027,-0.0065,-0.0029,0.0148,0.0063,0.0052,-0.0011,2
3035,0.5013,0.5013,0.6259,0.6418,-0.0075,-0.0162,0.0467,0.0553,0.0668,0.0578,-0.0388,-0.0426,0.0031,0.0113,0.0165,0.0091,-0.0467,-0.0419,-0.0207,-0.013,-0.0197,-0.0316,0.004,-0.0047,0.0085,0.0098,0.0042,-0.0011,2
3036,0.49,0.4872,0.6042,0.6738,-0.0054,-0.0174,0.0451,0.0531,0.063,0.0545,-0.0416,-0.0395,0.0078,0.0151,0.0182,0.0072,-0.0493,-0.0416,-0.0103,-0.0077,-0.0165,-0.0269,-0.001,-0.0014,0.0094,0.0167,0.0031,-0.0037,2
3037,0.4365,0.4342,0.6527,0.6425,-0.0127,-0.0247,0.036,0.048,0.0563,0.0482,-0.0427,-0.0417,0.0044,0.0173,0.0184,0.0098,-0.04,-0.0341,-0.0137,-0.0134,-0.0126,-0.0221,-0.0083,-0.0028,0.0091,0.0123,0.0029,-0.005,2
